SELIC,USD_VALOR,ACEITO/OFERTADO,DURACAO,TAXA_ULTIMO_LEILAO,REJEICAO_MERCADO,TAXA
0.02462,3.3139,0.8733333333333333,13556,5.1049,0,5.18
0.02462,3.3139,0.3416,1868,4.52,0,4.3
0.02462,3.4041,0.1553333333333333,3773,4.84,0,4.82
0.02462,3.4041,0.8000666666666667,1854,4.3,0,4.349
0.02462,3.4041,0.2736666666666666,6237,5.04,0,5.0899
0.02462,3.4041,0.3473333333333333,13542,5.18,0,5.178
0.02462,3.5424,0.0836,3758,4.82,1,4.92
0.02462,3.5424,0.9164,1839,4.349,0,4.4299
0.02462,3.5424,0.8266666666666667,13527,5.178,0,5.3
0.02462,3.5424,0.1733333333333333,6222,5.0899,0,5.178
0.02462,3.6753,0.7633333333333333,1826,4.4299,0,4.8
0.02462,3.6753,0.0506666666666666,3745,4.92,1,5.1875
0.02462,3.6753,0.5586666666666666,13514,5.3,0,5.49
0.02462,3.6753,0.1533333333333333,6209,5.178,0,5.38
0.02462,3.7543,0.0666666666666666,1792,4.8,1,5.582
0.02462,3.7335,0.015,1790,5.582,1,5.35
0.02462,3.7721,0.4,1784,5.35,0,5.45
0.02462,3.8521,0.0333333333333333,1509,4.892,1,5.35
0.02462,3.892,0.6666666666666666,1777,5.45,0,5.3876
0.02462,3.8452,0.235,3689,5.1875,0,5.61
0.02462,3.8452,0.2,13458,5.49,0,5.74
0.02462,3.8452,0.765,1770,5.3876,0,5.446
0.02462,3.7459,0.54,13444,5.74,0,5.72
0.02462,3.7459,0.1503333333333333,3675,5.61,0,5.548
0.02462,3.7459,0.8496666666666667,1756,5.446,0,5.318
0.02462,3.7459,0.46,6139,5.38,0,5.698
0.02462,3.7118,0.54,6125,5.698,0,5.6278
0.02462,3.7118,0.002,3661,5.548,1,5.3988
0.02462,3.7118,0.998,1742,5.318,0,5.1388
0.02462,3.7118,0.46,13430,5.72,0,5.69
0.02462,3.9873,0.1845,3647,5.3988,0,5.562
0.02462,3.9873,0.765,13416,5.69,0,5.74
0.02462,3.9873,0.8155,1728,5.1388,0,5.4788
0.02462,3.9873,0.235,6111,5.6278,0,5.665
